date,company,number 
27.03.2017,QFR Q-FREE,-7000
28.03.2017,HEX HEXAGON COMPOSITES,1000
28.03.2017,QFR Q-FREE,2000
28.03.2017,QFR Q-FREE,800
18.04.2017,QFR Q-FREE,-1900
18.04.2017,HEX HEXAGON COMPOSITES,-1000
18.04.2017,BULL NHY X3 ETN DNM NO 0010708878,500
19.04.2017,SBANK SBANKEN,-500
19.04.2017,BULL NHY X3 ETN DNM NO 0010708878,500
20.04.2017,BULL BWLPG ETN DNM NO 0010708860,1000
24.04.2017,BULL NHY X3 ETN DNM NO 0010708878,-1000
24.04.2017,BULL BWLPG ETN DNM NO 0010708860,3000
24.04.2017,BULL BWLPG ETN DNM NO 0010708860,2000
24.04.2017,BULL BWLPG ETN DNM NO 0010708860,1000
25.04.2017,HEX HEXAGON COMPOSITES,700
26.04.2017,BULL BWLPG ETN DNM NO 0010708860,-1000
26.04.2017,HEX HEXAGON COMPOSITES,400
28.04.2017,BULL BWLPG ETN DNM NO 0010708860,-6000
28.04.2017,BULL NHY X3 ETN DNM NO 0010708878,1100
11.05.2017,QFR Q-FREE,-1500
11.05.2017,QFR Q-FREE,-1500
12.05.2017,BULL BWLPG ETN DNM NO 0010708860,2800
16.05.2017,BULL NHY X3 ETN DNM NO 0010708878,-500
16.05.2017,BULL NHY X3 ETN DNM NO 0010708878,-600
16.05.2017,BULL BWLPG ETN DNM NO 0010708860,-800
18.05.2017,BULL NHY X3 ETN DNM NO 0010708878,1300
18.05.2017,BULKIN Bulk Invest ASA,10000
02.06.2017,BULL BWLPG ETN DNM NO 0010708860,-2000
02.06.2017,QFR Q-FREE,1000
08.06.2017,HEXAGON COMPOSITES,-1000
08.06.2017,Q-FREE,722
12.06.2017,QFR Q-FREE,400
12.06.2017,Q-FREE,2588
16.06.2017,NORSK HYDRO,460
20.06.2017,NORSK HYDRO,-460
20.06.2017,Q-FREE,2590
04.07.2017,BULL NHY X3 ETN DNM NO 0010708878,-300
14.07.2017,BULL NHY X3 ETN DNM NO 0010708878,-400
14.07.2017,BULL NHY X3 ETN DNM NO 0010708878,-600
17.07.2017,BEAR TEL X3 ETN DNM,30000
17.07.2017,HEXAGON COMPOSITES,180
17.07.2017,Q-FREE,-600
18.07.2017,BEAR TEL X3 ETN DNM,30000
21.07.2017,BEAR TEL X3 ETN DNM,25000
21.07.2017,BEAR TEL X3 ETN DNM,-25000
28.07.2017,BEAR TEL X3 ETN DNM,28000
08.08.2017,BEAR OBX X5 NORDNET,300
09.08.2017,QFR Q-FREE,-600
09.08.2017,BEAR TEL X3 ETN DNM,8000
09.08.2017,HEX HEXAGON COMPOSITES,-1100
09.08.2017,BEAR OBX X8 ND,2500
11.08.2017,BEAR OBX X8 ND,-1000
11.08.2017,BEAR TEL X3 ETN DNM,-46000
11.08.2017,BEAR OBX X8 ND,-1500
11.08.2017,BULL OBX X10 ND,500
11.08.2017,BULL OBX X10 ND,150
11.08.2017,BEAR TEL X3 ETN DNM,-50000
11.08.2017,BULL OBX X10 ND,500
11.08.2017,HEX HEXAGON COMPOSITES,500
11.08.2017,BULL OBX X10 ND,-250
11.08.2017,BEAR NHY X3 NORDNET,500
11.08.2017,BEAR NHY X3 NORDNET,-500
11.08.2017,BULL MHG X3 NORDNET,400
11.08.2017,BEAR OBX X5 NORDNET,-150
11.08.2017,BEAR OBX X5 NORDNET,-150
14.08.2017,BULL OBX X10 ND,-400
14.08.2017,BULL MHG X3 NORDNET,-200
14.08.2017,BULL MHG X3 NORDNET,-200
17.08.2017,BULL OBX X10 ND,500
21.08.2017,BULL OBX X10 ND,-500
21.08.2017,BULL OBX X10 ND,-500
21.08.2017,BEAR OBX X8 ND,3000
21.08.2017,BEAR OBX X10 NORDNET,500
21.08.2017,BEAR OBX X10 NORDNET,-500
22.08.2017,BEAR OBX X8 ND,3000
22.08.2017,BEAR DNB X3 NORDNET,750
22.08.2017,BEAR DNB X3 NORDNET,-750
22.08.2017,BEAR OBX X8 ND,2700
22.08.2017,BEAR OBX X10 NORDNET,500
22.08.2017,BEAR DNB X3 NORDNET,75
22.08.2017,BEAR DNB X3 NORDNET,-75
23.08.2017,BEAR OBX X8 ND,-2700
23.08.2017,BEAR NHY X3 NORDNET,100
24.08.2017,BEAR OBX X8 ND,-3000
24.08.2017,BEAR OBX X8 ND,-3000
24.08.2017,BULL MOWI X3 DNM,1000
24.08.2017,BULL NHY X3 ETN DNM NO 0010708878,700
24.08.2017,BULL MOWI X3 DNM,-500
24.08.2017,BULL NHY X3 ETN DNM NO 0010708878,-350
24.08.2017,BULL MOWI X3 DNM,-500
24.08.2017,BULL NHY X3 ETN DNM NO 0010708878,-350
24.08.2017,BEAR OBX X10 NORDNET,-500
24.08.2017,BEAR NHY X3 NORDNET,-100
24.08.2017,BULL NHY X3 NORDNET,350
24.08.2017,BULL NHY X3 NORDNET,-350
28.08.2017,BULL OBX X10 ND,500
28.08.2017,BULL NHY X3 ETN DNM NO 0010708878,500
28.08.2017,BULL MHG X3 ND,250
28.08.2017,BULL NHY X3 NORDNET,350
29.08.2017,BULL MHG X3 ND,-250
29.08.2017,BULL OBX X10 ND,375
29.08.2017,BULL NHY X3 NORDNET,-350
29.08.2017,BULL OBX X10 NORDNET,225
30.08.2017,BULL NHY X3 ETN DNM NO 0010708878,-500
30.08.2017,BULL OBX X10 ND,-500
30.08.2017,BULL OBX X10 NORDNET,-225
30.08.2017,BULL MHG X3 NORDNET,500
31.08.2017,BULL OBX X10 ND,-375
31.08.2017,BEAR OBX X10 NORDNET,1000
31.08.2017,BEAR OBX X10 NORDNET,1000
31.08.2017,BEAR OBX X10 NORDNET,1000
31.08.2017,BEAR OBX X10 NORDNET,250
31.08.2017,BULL MHG X3 NORDNET,-500
31.08.2017,BEAR OBX X10 NORDNET,700
05.09.2017,BEAR OBX X10 NORDNET,-1000
05.09.2017,BEAR OBX X10 NORDNET,-2250
05.09.2017,BEAR OBX X10 NORDNET,-700
07.09.2017,BEAR NAS X3 NORDNET,600
08.09.2017,QFR Q-FREE,-1800
08.09.2017,GJF GJENSIDIGE FORSIKR,-600
08.09.2017,BEAR NAS X3 NORDNET,-600
11.09.2017,Q-FREE,-4000
11.09.2017,HEXAGON COMPOSITES,-311
13.09.2017,BEAR OBX X10 NORDNET,2000
13.09.2017,BEAR OBX X10 ND,1200
13.09.2017,BEAR OBX X10 NORDNET,2000
13.09.2017,BEAR NAS X3 NORDNET,1400
15.09.2017,BWLPG BW LPG,-1000
15.09.2017,BEAR OBX X10 ND,800
15.09.2017,HEX HEXAGON COMPOSITES,-1500
18.09.2017,BEAR OBX X10 NORDNET,1750
18.09.2017,HEXAGON COMPOSITES,-189
18.09.2017,Arcus ASA,-508
18.09.2017,BEAR OBX X10 NORDNET,1200
19.09.2017,QFR Q-FREE,-11000
19.09.2017,BEAR OBX X10 NORDNET,-2000
19.09.2017,BEAR OBX X10 NORDNET,-3000
19.09.2017,BEAR OBX X10 NORDNET,-750
19.09.2017,BEAR OBX X10 ND,-2000
19.09.2017,BEAR OBX X10 NORDNET,-1200
20.09.2017,BEAR OBX X10 NORDNET,2000
20.09.2017,BEAR OBX X10 NORDNET,2000
20.09.2017,BEAR OBX X10 NORDNET,2000
20.09.2017,BEAR OBX X10 NORDNET,4000
20.09.2017,BEAR OBX X10 NORDNET,1250
25.09.2017,BEAR OBX X10 NORDNET,2500
25.09.2017,BEAR OBX X10 NORDNET,3000
25.09.2017,QFR Q-FREE,-2000
25.09.2017,QFR Q-FREE,-5000
25.09.2017,BEAR OBX X10 NORDNET,2500
25.09.2017,HEX HEXAGON COMPOSITES,-2000
25.09.2017,Q-FREE,-1300
25.09.2017,BEAR NAS X3 NORDNET,500
26.09.2017,HEX HEXAGON COMPOSITES,-2000
26.09.2017,BEAR OBX X10 NORDNET,2000
26.09.2017,QFR Q-FREE,-2000
26.09.2017,QFR Q-FREE,-2000
26.09.2017,NORDIC NANOVECTO R AS,-200
26.09.2017,BEAR OBX X10 NORDNET,750
29.09.2017,QFR Q-FREE,-2500
29.09.2017,HEX HEXAGON COMPOSITES,-2000
02.10.2017,BEAR OBX X10 NORDNET,4000
05.10.2017,QFR Q-FREE,-2114
11.10.2017,QFR Q-FREE,-5000
12.10.2017,BEAR OBX X10 NORDNET,140
13.10.2017,QFR Q-FREE,-2000
13.10.2017,BEAR OBX X10 NORDNET,2000
18.10.2017,BEAR OBX X10 NORDNET,-15000
18.10.2017,BEAR OBX X10 NORDNET,-11000
18.10.2017,BULL NHY X3 ETN DNM NO 0010708878,1000
18.10.2017,BEAR OBX X10 NORDNET,-2140
19.10.2017,BULL NHY X3 ETN DNM NO 0010708878,1000
19.10.2017,BULL NHY X3 ETN DNM NO 0010708878,1000
19.10.2017,BULL NHY X3 ETN DNM NO 0010708878,1000
19.10.2017,BULL NHY X3 ETN DNM NO 0010708878,-2000
19.10.2017,BEAR OBX X10 NORDNET,10000
19.10.2017,BEAR OBX X10 NORDNET,9000
19.10.2017,BULL NHY X3 ETN DNM NO 0010708878,-2000
19.10.2017,QFR Q-FREE,-3500
19.10.2017,BEAR OBX X10 NORDNET,5000
19.10.2017,QFR Q-FREE,-5000
19.10.2017,BULL NHY X3 NORDNET,300
19.10.2017,BULL NHY X3 NORDNET,-300
19.10.2017,BEAR OBX X10 NORDNET,2000
20.10.2017,BEAR OBX X10 NORDNET,2000
24.10.2017,BEAR OBX X10 NORDNET,-500
24.10.2017,BEAR OBX X10 NORDNET,-2000
24.10.2017,BEAR NAS X3 NORDNET,1400
25.10.2017,QFR Q-FREE,-2500
25.10.2017,BEAR OBX X10 NORDNET,1000
26.10.2017,KOG KONGSBERG GRUPPEN,-100
26.10.2017,QFR Q-FREE,-2500
26.10.2017,QFR Q-FREE,-3886
27.10.2017,BEAR OBX X10 NORDNET,1000
01.11.2017,BEAR OBX X10 NORDNET,800
02.11.2017,QFR Q-FREE,-2000
06.11.2017,TRE TREASURE,-267
08.11.2017,BEAR NAS X3 NORDNET,-1300
08.11.2017,BEAR OBX X10 NORDNET,3600
08.11.2017,BEAR NAS X3 NORDNET,-1000
08.11.2017,BEAR OBX X10 NORDNET,2500
08.11.2017,BEAR NAS X3 NORDNET,-1000
08.11.2017,BEAR OBX X10 NORDNET,3100
14.11.2017,QFR Q-FREE,-2500
14.11.2017,QFR Q-FREE,-1000
15.11.2017,QFR Q-FREE,-2000
15.11.2017,TRE TREASURE,-1133
16.11.2017,BEAR OBX X10 NORDNET,1700
27.11.2017,QFR Q-FREE,-2500
27.11.2017,BEAR OBX X10 NORDNET,-1000
27.11.2017,BEAR OBX X10 NORDNET,-9000
27.11.2017,BEAR OBX X10 NORDNET,-5000
27.11.2017,BEAR OBX X10 NORDNET,-5000
27.11.2017,BEAR OBX X10 NORDNET,-8000
27.11.2017,BEAR OBX X10 NORDNET,-2000
27.11.2017,BULL OBX X10 NORDNET,500
27.11.2017,BULL OBX X10 NORDNET,500
27.11.2017,BEAR OBX X10 NORDNET,-2200
27.11.2017,BEAR OBX X10 NORDNET,-7000
27.11.2017,BULL NHY X3 NORDNET,500
27.11.2017,BULL OBX X10 NORDNET,275
28.11.2017,BULL NHY X3 NORDNET,1000
29.11.2017,BULL STL X3 NORDNET,450
30.11.2017,TRE TREASURE,-1000
30.11.2017,BULL STL X3 NORDNET,-450
30.11.2017,BULL NHY X3 NORDNET,400
30.11.2017,BULL OBX X10 NORDNET,-275
30.11.2017,BULL NHY X3 NORDNET,950
05.12.2017,BULL OBX X10 NORDNET,-1000
05.12.2017,BULL NHY X3 NORDNET,1600
05.12.2017,BULL NHY X3 NORDNET,1500
05.12.2017,BULL NHY X3 NORDNET,500
11.12.2017,BULL NHY X3 NORDNET,-200
12.12.2017,BULL NHY X3 NORDNET,-200
13.12.2017,BULL NHY X3 NORDNET,-200
13.12.2017,BULL NHY X3 NORDNET,-200
14.12.2017,BULL MOWI X3 DNM,1100
18.12.2017,BULL MOWI X3 DNM,-1100
19.12.2017,BULL NHY X3 NORDNET,-200
19.12.2017,BULL MHG X3 NORDNET,1000
19.12.2017,WWI WILH. WILHELMSEN A,-100
19.12.2017,BULL NHY X3 NORDNET,-200
19.12.2017,BULL MHG X3 NORDNET,1200
20.12.2017,BULL NHY X3 NORDNET,-400
20.12.2017,BULL MHG X3 NORDNET,800
20.12.2017,BULL NHY X3 NORDNET,-250
20.12.2017,BULL MHG X3 NORDNET,500
21.12.2017,BULL NHY X3 NORDNET,-400
21.12.2017,BULL NHY X3 NORDNET,-500
21.12.2017,BULL NHY X3 NORDNET,-500
21.12.2017,BULL NHY X3 NORDNET,-500
21.12.2017,BULL NHY X3 NORDNET,-200
21.12.2017,BULL NHY X3 NORDNET,-500
21.12.2017,BULL MHG X3 NORDNET,500
21.12.2017,BULL MHG X3 NORDNET,500
21.12.2017,BULL MHG X3 NORDNET,500
21.12.2017,BULL MHG X3 NORDNET,-500
22.12.2017,BULL NHY X3 NORDNET,-500
22.12.2017,BULL NHY X3 NORDNET,-500
27.12.2017,BULL MHG X3 NORDNET,-500
28.12.2017,BULL NHY X3 NORDNET,-1000
28.12.2017,BULL MHG X3 NORDNET,-1000
28.12.2017,BULL MHG X3 NORDNET,-500
28.12.2017,BULL MHG X3 NORDNET,-1000
28.12.2017,BULL MHG X3 NORDNET,-500
28.12.2017,BULL MHG X3 NORDNET,-500
28.12.2017,BULL MHG X3 NORDNET,-500
02.01.2018,BEAR OBX X10 ND,2000
02.01.2018,BEAR NAS X3 DNM,3000
02.01.2018,BEAR OBX X10 NORDNET,5000
02.01.2018,BEAR NAS X3 NORDNET,700
02.01.2018,BEAR OBX X10 NORDNET,-5000
02.01.2018,BEAR NAS X3 NORDNET,-700
03.01.2018,BULL NHY X3 NORDNET,650
03.01.2018,BULL NHY X3 NORDNET,-650
03.01.2018,BEAR NAS X3 NORDNET,2500
04.01.2018,BEAR OBX X10 ND,-2000
04.01.2018,BEAR PGS X2 ND,2500
04.01.2018,BEAR NAS X3 DNM,-1000
04.01.2018,BEAR PGS X2 ND,1000
04.01.2018,BEAR NAS X3 DNM,-2000
04.01.2018,BEAR PGS X2 ND,2200
04.01.2018,BEAR NAS X3 NORDNET,-500
04.01.2018,BEAR DNB X3 NORDNET,400
08.01.2018,BEAR DNB X3 NORDNET,-400
08.01.2018,BEAR NAS X3 NORDNET,1400
12.01.2018,BEAR NAS X3 DNM,1900
22.01.2018,REC,16000
23.01.2018,REC,-16000
24.01.2018,REC,17000
25.01.2018,REC,-17000
30.01.2018,MOWI MOWI,-1000
30.01.2018,WAWI WALLENIUS WILHELMS,-1000
30.01.2018,MOWI MOWI,-565
30.01.2018,WAWI WALLENIUS WILHELMS,-1000
01.02.2018,NHY NORSK HYDRO,-2000
06.02.2018,BEAR PGS X2 ND,-400
06.02.2018,BEAR NAS X3 DNM,-900
06.02.2018,BEAR OBX X10 ND,400
06.02.2018,REC,20000
07.02.2018,WAWI WALLENIUS WILHELMS,1000
07.02.2018,WAWI WALLENIUS WILHELMS,1000
07.02.2018,WWIB WILH. WILHELMSEN B,1000
07.02.2018,WAWI WALLENIUS WILHELMS,1000
07.02.2018,REC,-20000
07.02.2018,WWIB.NO,80
08.02.2018,WWIB WILH. WILHELMSEN B,-500
08.02.2018,NHY NORSK HYDRO,2000
08.02.2018,BEAR PGS X2 ND,-300
08.02.2018,WWIB.NO,-30
09.02.2018,NHY NORSK HYDRO,-2000
09.02.2018,WAWI WALLENIUS WILHELMS,-1000
09.02.2018,BEAR NAS X3 DNM,300
09.02.2018,BEAR NAS X3 NORDNET,-400
09.02.2018,BEAR NAS X3 NORDNET,400
09.02.2018,WWIB.NO,-50
12.02.2018,NHY NORSK HYDRO,2000
12.02.2018,SCATC SCATEC,1000
12.02.2018,SCATC SCATEC,1000
12.02.2018,BEAR OBX X10 ND,-400
12.02.2018,WWIB.NO,75
13.02.2018,NHY NORSK HYDRO,-2000
14.02.2018,WAWI WALLENIUS WILHELMS,2000
14.02.2018,BEAR PGS X2 ND,-500
15.02.2018,BEAR NAS X3 DNM,-1300
15.02.2018,SCATC SCATEC,1000
15.02.2018,BEAR NAS X3 NORDNET,-400
16.02.2018,BEAR NAS X3 NORDNET,-500
16.02.2018,BEAR NAS X3 NORDNET,-500
19.02.2018,SCATC SCATEC,1000
19.02.2018,WWIB WILH. WILHELMSEN B,100
19.02.2018,BEAR PGS X2 ND,1000
19.02.2018,BEAR PGS X2 ND,1000
19.02.2018,BEAR PGS X2 ND,400
20.02.2018,SCATC SCATEC,-1000
20.02.2018,SCATC SCATEC,-1000
20.02.2018,BEAR OBX X10 ND,1100
21.02.2018,BEAR OBX X10 ND,-1100
21.02.2018,BEAR PGS X2 ND,2700
21.02.2018,BEAR NAS X3 NORDNET,-500
21.02.2018,BEAR PGS X2 ND,1150
27.02.2018,WAWI WALLENIUS WILHELMS,-1000
27.02.2018,NHY NORSK HYDRO,1100
27.02.2018,WAWI WALLENIUS WILHELMS,-1000
27.02.2018,NHY NORSK HYDRO,1100
27.02.2018,NHY NORSK HYDRO,-2200
27.02.2018,BEAR PGS X2 ND,-1550
27.02.2018,BULL NHY X3 NORDNET,230
27.02.2018,BEAR PGS X2 ND,1700
27.02.2018,BULL NHY X3 NORDNET,-230
27.02.2018,NHY,345
27.02.2018,WWIB.NO,-75
27.02.2018,NHY,-345
28.02.2018,NHY NORSK HYDRO,2200
28.02.2018,NHY,350
01.03.2018,BEAR NAS X3 NORDNET,-750
01.03.2018,BULL NHY X3 NORDNET,230
02.03.2018,BEAR PGS X2 ND,-1700
02.03.2018,BULL NHY X3 NORDNET,290
02.03.2018,BULL OBX X10 NORDNET,75
02.03.2018,BEAR NAS X3 NORDNET,-750
05.03.2018,Wallenius Wilhelmsen Logistics ASA,-275
05.03.2018,BEAR PGS X2 ND,1900
05.03.2018,BULL OBX X10 NORDNET,-75
05.03.2018,Wallenius Wilhelmsen Logistics ASA,275
16.03.2018,BEAR PGS X2 ND,-900
16.03.2018,BULL NHY X3 NORDNET,180
16.03.2018,BEAR PGS X2 ND,-1000
16.03.2018,BULL NHY X3 NORDNET,200
19.03.2018,BEAR PGS X2 ND,-1000
19.03.2018,BULL NHY X3 NORDNET,250
21.03.2018,NHY NORSK HYDRO,100
21.03.2018,BEAR PGS X2 ND,-1000
21.03.2018,BULL NHY X3 NORDNET,240
05.04.2018,BULL NHY X3 NORDNET,-190
05.04.2018,Wallenius Wilhelmsen Logistics ASA,145
09.04.2018,BULL NHY X3 NORDNET,-200
09.04.2018,BULL NHY X3 NORDNET,210
10.04.2018,BULL NHY X3 NORDNET,-200
10.04.2018,BEAR PGS X2 ND,1250
12.04.2018,BULL NHY X3 NORDNET,-210
12.04.2018,BEAR PGS X2 ND,1600
13.04.2018,BULL NHY X3 NORDNET,-200
13.04.2018,BEAR PGS X2 ND,1850
16.04.2018,BULL NHY X3 NORDNET,-200
16.04.2018,BEAR PGS X2 ND,2000
18.04.2018,BULL NHY X3 NORDNET,-200
18.04.2018,HEXAGON COMPOSITES,550
23.04.2018,Wallenius Wilhelmsen Logistics ASA,-145
23.04.2018,BULL NHY X3 NORDNET,170
23.04.2018,HEXAGON COMPOSITES,-550
23.04.2018,BULL NHY X3 NORDNET,230
03.05.2018,BEAR PGS X2 ND,250
24.05.2018,NHY,-350
24.05.2018,WWIB.NO,85
30.05.2018,SCATC SCATEC,-1000
30.05.2018,NHY NORSK HYDRO,1100
08.06.2018,WWIB.NO,-85
08.06.2018,WALWIL,465
11.06.2018,BULL NHY X3 NORDNET,-200
11.06.2018,REC SILICON ASA,12000
12.06.2018,REC SILICON ASA,-12000
12.06.2018,BULL NHY X3 NORDNET,230
14.06.2018,WALWIL,-465
14.06.2018,NHY,370
15.06.2018,BULL NHY X3 NORDNET,-210
15.06.2018,REC SILICON ASA,13000
18.06.2018,REC SILICON ASA,-13000
18.06.2018,BULL NHY X3 NORDNET,220
06.08.2018,NHY,-370
06.08.2018,WALWIL,450
09.08.2018,SCATC SCATEC,-1000
09.08.2018,WAWI WALLENIUS WILHELMS,1000
09.08.2018,WAWI WALLENIUS WILHELMS,800
09.08.2018,WAWI WALLENIUS WILHELMS,2500
22.08.2018,BEAR PGS X2 ND,-450
06.09.2018,BEAR PGS X2 ND,-500
06.09.2018,BULL NHY X3 NORDNET,80
07.09.2018,BULL NHY X3 NORDNET,55
07.09.2018,BEAR PGS X2 ND,-500
13.09.2018,NHY NORSK HYDRO,1000
13.09.2018,NHY NORSK HYDRO,1000
13.09.2018,NHY NORSK HYDRO,1000
13.09.2018,BULL NHY X3 NORDNET,600
19.09.2018,BULL NHY X3 NORDNET,-300
19.09.2018,BEAR PGS X2 ND,5000
19.09.2018,BULL NHY X3 NORDNET,-300
19.09.2018,BEAR PGS X2 ND,4000
20.09.2018,NHY NORSK HYDRO,-1500
21.09.2018,NHY NORSK HYDRO,-1500
21.09.2018,BEAR OBX X10 ND,5000
21.09.2018,BEAR OBX X10 ND,5000
21.09.2018,BEAR OBX X10 ND,1500
21.09.2018,BULL NHY X3 NORDNET,-75
21.09.2018,BEAR PGS X2 ND,1100
25.09.2018,BEAR OBX X10 NORDNET,5000
25.09.2018,BULL NHY X3 NORDNET,-100
25.09.2018,BULL NHY X3 NORDNET,-100
25.09.2018,BEAR OBX X10 NORDNET,6000
25.09.2018,BULL NHY X3 NORDNET,-100
25.09.2018,BEAR STL X3 NORDNET,500
26.09.2018,BEAR STL X3 NORDNET,-500
26.09.2018,BEAR PGS X2 ND,2000
01.10.2018,BEAR OBX X10 ND,1750
03.10.2018,BEAR OBX X10 ND,-5250
03.10.2018,BULL NHY X3 ETN DNM NO 0010708878,400
03.10.2018,BEAR OBX X10 ND,-8000
03.10.2018,BULL NHY X3 ETN DNM NO 0010708878,500
03.10.2018,BEAR OBX X10 NORDNET,-11000
03.10.2018,BULL NHY X3 NORDNET,250
03.10.2018,WALWIL,-450
03.10.2018,NHY,375
04.10.2018,BULL NHY X3 ETN DNM NO 0010708878,100
08.10.2018,BULL NHY X3 ETN DNM NO 0010708878,-200
08.10.2018,BULL NHY X3 NORDNET,-200
08.10.2018,Wallenius Wilhelmsen Logistics ASA,200
09.10.2018,WWIB WILH. WILHELMSEN B,100
09.10.2018,BULL NHY X3 NORDNET,225
09.10.2018,Wallenius Wilhelmsen Logistics ASA,-200
10.10.2018,BULL NHY X3 ETN DNM NO 0010708878,600
10.10.2018,BULL NHY X3 ETN DNM NO 0010708878,600
11.10.2018,BEAR PGS X2 ND,-3200
11.10.2018,BULL NHY X3 ETN DNM NO 0010708878,280
11.10.2018,BEAR PGS X2 ND,-2600
11.10.2018,BULL NHY X3 NORDNET,275
18.10.2018,BEAR PGS X2 ND,-2000
18.10.2018,BULL ORK X3 ND,240
18.10.2018,BEAR PGS X2 ND,-2000
18.10.2018,Elkem ASA,230
19.10.2018,BEAR PGS X2 ND,-2000
19.10.2018,BULL ORK X3 ND,200
22.10.2018,BEAR PGS X2 ND,-2000
22.10.2018,BEAR PGS X2 ND,-2000
22.10.2018,Elkem ASA,250
23.10.2018,BEAR PGS X2 ND,-2000
23.10.2018,BULL NHY X3 ETN DNM NO 0010708878,520
23.10.2018,BULL OBX X10 ND,110
23.10.2018,BULL OBX X10 ND,100
23.10.2018,BULL OBX X10 ND,220
24.10.2018,ELK ELKEM,2500
24.10.2018,ELK ELKEM,2500
24.10.2018,ELK ELKEM,2800
25.10.2018,BEAR PGS X2 ND,-2000
25.10.2018,BEAR PGS X2 ND,-2000
25.10.2018,BEAR PGS X2 ND,-3000
25.10.2018,BULL OBX X10 ND,150
25.10.2018,BULL ORK X3 ND,-240
25.10.2018,Elkem ASA,350
25.10.2018,POLIGHT AS,-300
25.10.2018,BULL OBX X10 NORDNET,65
25.10.2018,BULL ORK X3 ND,-200
26.10.2018,BULL OBX X10 ND,50
29.10.2018,BULL OBX X10 ND,-130
29.10.2018,RECSI REC SILICON,50000
29.10.2018,RECSI REC SILICON,30000
29.10.2018,BULL OBX X10 NORDNET,-30
29.10.2018,REC SILICON ASA,12000
29.10.2018,BULL OBX X10 NORDNET,-35
29.10.2018,REC SILICON ASA,14000
30.10.2018,POLIGHT AS,-300
30.10.2018,BULL OBX X10 NORDNET,55
30.10.2018,POLIGHT AS,-200
30.10.2018,REC SILICON ASA,15000
31.10.2018,BULL OBX X10 ND,-100
31.10.2018,RECSI REC SILICON,20000
31.10.2018,RECSI REC SILICON,70000
31.10.2018,BULL OBX X10 NORDNET,-25
31.10.2018,Wallenius Wilhelmsen Logistics ASA,275
01.11.2018,NHY,-375
01.11.2018,NEL,4000
05.11.2018,RECSI REC SILICON,-20000
05.11.2018,RECSI REC SILICON,-30000
05.11.2018,RECSI REC SILICON,-20000
05.11.2018,RECSI REC SILICON,-30000
05.11.2018,REC SILICON ASA,-20000
05.11.2018,BULL EQUINOR X3 ND1,160
05.11.2018,REC SILICON ASA,-21000
05.11.2018,BULL EQUINOR X3 ND1,-160
05.11.2018,NEL,-4000
06.11.2018,WAWI WALLENIUS WILHELMS,2500
06.11.2018,Wallenius Wilhelmsen Logistics ASA,1000
06.11.2018,BULL NHY X3 NORDNET,110
06.11.2018,WALWIL,600
07.11.2018,WAWI WALLENIUS WILHELMS,-1000
07.11.2018,ELK ELKEM,-800
07.11.2018,WAWI WALLENIUS WILHELMS,-1500
07.11.2018,RECSI REC SILICON,-20000
07.11.2018,Wallenius Wilhelmsen Logistics ASA,-1275
08.11.2018,RECSI REC SILICON,-30000
08.11.2018,RECSI REC SILICON,-20000
08.11.2018,PHO PHOTOCURE,1000
08.11.2018,PHO PHOTOCURE,1000
08.11.2018,PHO PHOTOCURE,1000
08.11.2018,PHOTOCURE ASA,500
08.11.2018,PHOTOCURE ASA,400
09.11.2018,BULL NHY X3 ETN DNM NO 0010708878,1400
09.11.2018,NHY,425
09.11.2018,WALWIL,-600
12.11.2018,NHY,-425
12.11.2018,PHO.NO,450
13.11.2018,BULL NHY X3 NORDNET,50
20.11.2018,WAWI WALLENIUS WILHELMS,-1000
21.11.2018,BULL OBX X10 ND,600
21.11.2018,WWIB WILH. WILHELMSEN B,-200
21.11.2018,WAWI WALLENIUS WILHELMS,800
21.11.2018,BULL OBX X10 ND,-500
22.11.2018,BULL OBX X10 ND,500
29.11.2018,BULL NHY X3 ETN DNM NO 0010708878,300
03.12.2018,PHO PHOTOCURE,300
06.12.2018,PHO PHOTOCURE,-700
06.12.2018,PHO PHOTOCURE,-600
07.12.2018,ELK,650
07.12.2018,PHO.NO,-450
10.12.2018,PHOTOCURE ASA,-200
10.12.2018,BULL OBX X10 NORDNET,70
13.12.2018,PHOTOCURE ASA,-200
13.12.2018,BULL OBX X10 NORDNET,75
14.12.2018,PHOTOCURE ASA,-200
14.12.2018,BULL OBX X10 NORDNET,85
19.12.2018,PHO PHOTOCURE,-500
19.12.2018,BULL OBX X10 ND,140
19.12.2018,PHO PHOTOCURE,-500
19.12.2018,BULL OBX X10 ND,160
19.12.2018,PHOTOCURE ASA,-300
19.12.2018,BULL OBX X10 NORDNET,130
20.12.2018,WWIB WILH. WILHELMSEN B,-500
20.12.2018,PHO PHOTOCURE,-500
20.12.2018,BULL OBX X10 ND,150
20.12.2018,WAWI WALLENIUS WILHELMS,-1300
21.12.2018,BULL OBX X10 ND,260
21.12.2018,WAWI WALLENIUS WILHELMS,-1000
21.12.2018,BULL OBX X10 ND,210
21.12.2018,ELK ELKEM,-2000
21.12.2018,PHO PHOTOCURE,-500
21.12.2018,ELK ELKEM,-1000
21.12.2018,ELK ELKEM,-2000
21.12.2018,ELK ELKEM,-2000
21.12.2018,BULL OBX X10 NORDNET,300
21.12.2018,Elkem ASA,-1000
21.12.2018,BULL OBX X10 NORDNET,300
21.12.2018,Elkem ASA,-1000
21.12.2018,ELK,-650
